key,value,year,category,latitude,longitude,country
île de,12,2022,loc,35.0000663,104.999955,China
archipel du,1,2022,loc,43.2739492,5.305690731872495,France
Pacifique,21,2022,loc,-0.703107,-120.9375,Pacific Ocean
Montpellier,19,2022,loc,43.6112422,3.8767337,France
Hérault,8,2022,loc,43.591422,3.3553309364095925,France
Saint-Dié-des-Vosges,1,2022,loc,48.2873153,6.9477708,France
Vosges,5,2022,loc,48.16378605,6.382071173595532,France
Perpignan,11,2022,loc,42.6985304,2.8953121,France
Pyrénées-Orientales,3,2022,loc,42.625894,2.5065089946931507,France
Puy-en-Velay,1,2022,loc,45.0459739,3.8855537,France
Haute-Loire,2,2022,loc,45.085724850000005,3.833826117673291,France
Istres,1,2022,loc,43.5139051,4.9884323,France
Martigues,1,2022,loc,43.4057279,5.0548176,France
Bouches-du-Rhône,6,2022,loc,43.5424182,5.034323560504859,France
Skikda,2,2022,loc,36.8801317,6.9077363,Algeria
Ouzbékistan,39,2022,loc,41.32373,63.9528098,Uzbekistan
pipeline Nord,2,2022,loc,51.1963796,6.4412367,Germany
Pakistan,47,2022,loc,30.3308401,71.247499,Pakistan
TAPI,1,2022,loc,21.1916567,73.55606306168934,India
Confia,1,2022,loc,-12.0950314,-77.01342645,Peru
Clap,1,2022,loc,46.1811727,13.3668588,Italy
Yaoundé,17,2022,loc,3.8689867,11.5213344,Cameroon
Nouakchott,6,2022,loc,18.0792379,-15.9780071,Mauritania
Koweït,7,2022,loc,29.3796532,47.9734174,Kuwait
Bozoum,1,2022,loc,6.3147379,16.3806392,Central African Republic
Villa Rose,3,2022,loc,16.7613114,121.9081385,Philippines
Mogadiscio,27,2022,loc,2.0349312,45.3419183,Somalia
hôtel Villa Rose,2,2022,loc,50.86091205,13.31971470750462,Germany
Belgrade,35,2022,loc,44.8178131,20.4568974,Serbia
El Ghazouani,1,2022,loc,35.75551996646652,-5.837934819122587,Morocco
Kénya,8,2022,loc,1.4419683,38.4313975,Kenya
Bosnie-Herzégovine,6,2022,loc,44.3053476,17.5961467,Bosnia and Herzegovina
base militaire de,3,2022,loc,47.32011759274727,1.6816689757402845,France
Sidi Yahya El Gharb,1,2022,loc,34.308516850000004,-6.294009094825912,Morocco
stade Al-Thumama,2,2022,loc,25.2353106,51.53291524919637,Qatar
Doha,43,2022,loc,25.2856329,51.5264162,Qatar
Mthombeni,1,2022,loc,-32.9755556,27.6433333,South Africa
